id,name,status,debut_gen,debut_date,grad_date,yt_channel_id,yt_topic_id,spotify_id,twitter_id,add_notes
25,Uruha Rushia,0,Fantasy,2019-07-18,2022-02-24,UCl_gCybOJRIgOXw6Qb4qJzQ,UCqozWN6dG6ciUtBWypwLkqA,70qI9Ih5VXZMuCsEVhy22C,uruharushia,NULL
26,Shiranui Flare,1,Fantasy,2019-08-07,NULL,UCvInZx9h3jC2JzsIzoOebWg,UNDER VARIOUS ARTISTS,0JHnoazUTZHoJMqRwsCDNT,shiranuiflare,NULL
27,Shirogane Noel,1,Fantasy,2019-08-08,NULL,UCdyqAaZDKHXg4Ahi7VENThQ,UNDER VARIOUS ARTISTS,58dqdL1HubAnJ1QYj5CQCs,shiroganenoel,NULL
28,Houshou Marine,1,Fantasy,2019-08-11,NULL,UCCzUftO8KOVkV4wQG1vkUvg,UCXpaq8esihcv3tfMGR8hLyw,5XaBNKQo65yYcjNA8wQPOk,houshoumarine,GIGA yt_topic_id: UCcqUSpGCgE57o7LGN9eoYew; TuneCore Japan spotify_id: 4ArC16EPsPZKHUtdeGqHx7
29,Yakushiji Suzaku,0,STARS1,2019-09-07,2020-03-06,UCGKgJ4MtJ1coi6tWJUfnsQA,NULL,NULL,YakushijiSuzaku,NULL
30,Arurandeisu,1,STARS1,2019-09-08,NULL,UCKeAhJvy8zgXWbh9duVjIaQ,UNDER VARIOUS ARTISTS,1ZccUqQX0uet5J22E4Erov,arurandeisu,NULL
31,Yogiri,0,CH1,2019-09-27,2020-12-20,NULL,NULL,NULL,_YOGiRi_owo,NULL
32,Rikkaroid,1,STARS1,2019-10-20,NULL,UC9mf_ZVpouoILRY9NUIaK-w,OFFICIAL ARTIST CHANNEL,0nEKA86Og8b1gll9dc0tS9,rikkaroid,NULL
33,Civia,0,CH1,2019-11-01,2020-11-18,UCgNVXGlZIFK96XdEY20sVjg,NULL,NULL,_Civia,NULL
34,Astel Leda,1,SunTempo,2019-12-07,NULL,UCNVEsYbiZjH5QLmGeSgTSzg,UNDER VARIOUS ARTISTS,4OmOWaMOm0N7X2GE93tvTZ,astelleda,NULL
35,Kishido Temma,1,SunTempo,2019-12-14,NULL,UCGNI4MENvnsymYjKiZwv9eg,UNDER VARIOUS ARTISTS,5gTlfT6qniQ05RaRcnZSdp,kishidotemma,NULL
36,Yukoku Roberu,1,SunTempo,2019-12-24,NULL,UCANDOlYTJT7N5jlRC3zfzVA,NULL,49VPZqdN3rQ9oHtkHrIfNN,yukokuroberu,NULL
37,Amane Kanata,1,JP4,2019-12-27,NULL,UCZlDXzGoo7d44bwdNObFacg,UCPCiIrrrNJOKvi_5vr3G6PA,3xYcccivSuAU13ZHypWoNW,amanekanatach,NULL
38,Kiryu Coco,0,JP4,2019-12-28,2021-07-01,UCS9uQI-jC3DE0L4IpXyvr6w,NULL,6UVwgcSAKl0SZ9plRC59VQ,kiryucoco,NULL
39,Tsunomaki Watame,1,JP4,2019-12-29,NULL,UCqm3BQLlJfvkTsX_hvm0UmA,UCX2NCyh8ipCoydn1iKWyM_Q,68609MOnEU86kVyMf26JnM,tsunomakiwatame,RK Music yt_topic_id: UCS_9XZ5bmsfWIP2pFyDh8ZA
40,Tokoyami Towa,1,JP4,2020-01-03,NULL,UC1uv2Oq6kNxgATlCiez59hw,UCL6zH0jSt3-2MqzAZ1ciUAw,0XZGQi9wNsE1z9L0AWhC82,tokoyamitowa,NULL
41,Himemori Luna,1,JP4,2020-01-04,NULL,UCa9Y57gfeY0Zro_noHRVrnw,UNDER VARIOUS ARTISTS,1uLQjE6Ti5jie0J4PWXzyO,himemoriluna,NULL
42,Spade Echo,0,CH1,2020-01-30,2020-11-21,NULL,NULL,NULL,SpadeEcho,NULL
43,Doris,0,CH2,2020-04-03,2020-12-05,NULL,NULL,NULL,Doris_Hololive,NULL
